,load_node_21,load_node_98,export_node_130,export_node_68,export_node_170,export_node_108,export_node_59,renew_node_24,renew_node_154,renew_node_155,renew_node_25,renew_node_202,renew_node_86,renew_node_99,prod_gen_5,prod_gen_7,prod_gen_9,prod_gen_25,prod_gen_31,prod_gen_41,time
67,315.9865,42.3559,-36.416757000000004,1146.115485,-2415.5210899999997,38.134667,-10.282306,217.138084,0.833888,79.321007,259.795531,215.25328599999997,4.694193,20.91514,630.0,216.0,2087.0,957.0,146.0,1400.0,2012-01-03 19:00:00
69,308.6167,39.5948,-34.489769,-50.075009,-2257.814407,38.11766,-1.6748049999999999,323.899958,1.227668,88.42119100000001,271.651553,263.858867,6.491013,16.370751000000002,630.0,216.0,2087.0,957.0,146.0,1400.0,2012-01-03 21:00:00
70,295.9087,36.2893,-30.523883,-40.11996,-2051.5509239999997,33.346178,-0.139047,374.778664,0.7412340000000001,114.635154,287.89741499999997,279.429486,8.871799000000001,22.448187,630.0,216.0,2087.0,957.0,146.0,1400.0,2012-01-03 22:00:00
71,276.9065,33.2923,-27.643232,-25.455270000000002,-1864.398616,23.917745999999998,7.840939,445.397196,0.71807,120.203923,304.903722,312.674862,9.81513,23.433717,630.0,0.0,2087.0,957.0,146.0,1400.0,2012-01-03 23:00:00
72,242.5671,30.1831,-22.508562,-7.911111999999999,-1686.744906,25.188674,22.057494000000002,502.392467,0.532762,133.51463999999999,290.17874900000004,329.50796299999996,8.422594,28.361368,0.0,0.0,2087.0,957.0,52.078842,1400.0,2012-01-04 00:00:00
73,220.8559,28.1492,-17.276504,-0.293184,-1580.537991,31.31948,14.432982,590.804645,0.810724,197.080104,241.752254,389.68630099999996,6.738075,29.894415000000002,0.0,0.0,2087.0,0.0,0.0,1050.9218210000001,2012-01-04 01:00:00
74,202.9293,27.2816,-12.899671000000001,-3.337757,-1540.377679,49.009544,8.238717999999999,697.288494,0.880215,256.570859,195.330567,459.12284500000004,4.626812,33.836535,0.0,0.0,2087.0,0.0,0.0,1203.4711849999999,2012-01-04 02:00:00
75,196.6749,26.9637,-12.388144,-13.535032999999999,-1523.2311849999999,46.770196,2.259184,780.974234,2.339518,312.93767,157.4466,461.437397,20.393908,40.570991,0.0,0.0,1733.362421,0.0,0.0,890.3352970000001,2012-01-04 03:00:00
76,189.3848,27.5125,-10.922609,-11.156419999999999,-1530.469102,40.413955,3.144636,861.04564,6.53212,320.679618,122.466148,472.79974000000004,45.077723999999996,40.297233,0.0,0.0,1251.276544,0.0,0.0,0.0,2012-01-04 04:00:00
77,191.2969,29.9836,-10.634975,-18.315718,-1612.094329,52.928729000000004,2.488938,1006.731115,10.469923,264.991925,76.77034,477.63925700000004,101.228352,39.311703,0.0,0.0,995.3699349999999,0.0,0.0,0.0,2012-01-04 05:00:00
78,196.7148,34.0064,-21.70627,-20.987798,-1738.528739,46.518190000000004,-1.042975,977.260389,6.949064,195.178573,43.967525,448.181329,120.90353200000001,23.597972,0.0,0.0,1638.475641,0.0,0.0,1400.0,2012-01-04 06:00:00
79,213.1276,37.9899,-24.434069,-33.777094,-1947.9461260000003,39.882018,12.824167999999998,773.745565,2.339518,122.784572,36.570473,380.42809500000004,147.316788,18.068053,0.0,180.336714,2084.356354,0.0,0.0,1400.0,2012-01-04 07:00:00
80,239.6191,40.5593,-22.666157000000002,-48.588908,-2156.608768,39.066838,22.398437,571.432454,7.764767999999999,184.022932,39.343165,347.196437,142.902605,18.561009,0.0,0.0,2087.0,0.0,0.0,1400.0,2012-01-04 08:00:00
81,270.8114,41.4792,-11.465029,-54.375427,-2169.57513,80.039026,-6.792864,696.711662,19.572197,279.730925,11.446466000000001,435.04773099999994,163.335071,10.850307,0.0,216.0,1289.451257,0.0,0.0,626.759734,2012-01-04 09:00:00
82,285.7901,41.3491,-4.489204,-53.174539,-2090.8781480000002,137.416426,-12.150585000000001,820.6562610000001,30.826029,342.864845,8.748274,549.465921,184.12516200000002,24.585642,0.0,216.0,1330.482311,0.0,0.0,0.0,2012-01-04 10:00:00
83,286.5869,40.5971,5.5117910000000006,-36.039123,-1909.2313649999999,172.397933,-14.692216,706.9944019999999,36.958987,360.698879,19.276932000000002,453.28394199999997,186.41799,29.684922999999998,0.0,216.0,0.0,0.0,0.0,0.0,2012-01-04 11:00:00
84,290.3714,40.3002,7.37027,-29.459695,-1813.029143,217.07020099999997,-11.622128,642.280685,38.889369,364.10603399999997,32.251838,459.07047,169.667298,42.9171,0.0,216.0,0.0,0.0,146.0,0.0,2012-01-04 12:00:00
85,275.4724,38.6222,20.136554999999998,-28.837643,-1865.50188,258.717811,-9.42502,729.5714780000001,37.536976,451.6578769999999,37.363553,486.121907,165.5332,58.587695,0.0,216.0,0.0,0.0,0.0,0.0,2012-01-04 13:00:00
86,278.4203,37.7745,10.079323,-30.876292,-1911.779373,255.33701000000002,-6.496697,683.6483099999999,30.394989000000002,298.37393,38.201758,422.089036,177.488683,65.34943100000001,0.0,216.0,0.0,0.0,0.0,0.0,2012-01-04 14:00:00
87,280.0138,37.9359,-7.901084,-34.773627000000005,-1981.7975219999998,259.84027000000003,-2.729926,565.3448139999999,20.424205,230.476989,28.406464,342.642015,139.680302,48.765978000000004,0.0,216.0,0.0,0.0,0.0,0.0,2012-01-04 15:00:00
88,276.1496,38.9288,-27.775064,-54.864681000000004,-2074.3278809999997,260.797573,-15.22993,371.16433,2.5943169999999998,228.31954199999998,10.335134,288.68769199999997,129.371047,4.106376,0.0,216.0,2087.0,0.0,146.0,1400.0,2012-01-04 16:00:00
89,275.8707,41.6699,-35.614902,-59.427275,-2210.2519780000002,220.31299500000003,-18.304628,373.944587,1.11185,229.813602,10.646225,425.24622800000003,121.981624,3.3398519999999996,630.0,0.0,2087.0,63.49150600000001,146.0,1400.0,2012-01-04 17:00:00
